YEAR,MO,DY,HR,T2M,RH2M
2001,1,1,0,22.84,96.03
2001,1,1,1,22.7,95.77
2001,1,1,2,22.74,95.08
2001,1,1,3,22.69,95.2
2001,1,1,4,22.6,95.58
2001,1,1,5,22.54,96.02
2001,1,1,6,23.12,93.55
2001,1,1,7,24.66,87.23
2001,1,1,8,25.95,79.76
2001,1,1,9,27.19,73.42
2001,1,1,10,28.17,68.95
2001,1,1,11,28.83,65.9
2001,1,1,12,29.29,64.05
2001,1,1,13,29.51,62.71
2001,1,1,14,29.58,62.05
2001,1,1,15,28.96,64.53
2001,1,1,16,27.91,69.75
2001,1,1,17,26.49,78.23
2001,1,1,18,25.12,88.32
2001,1,1,19,24.52,90.96
2001,1,1,20,24.15,91.94
2001,1,1,21,23.88,92.06
2001,1,1,22,23.63,91.96
2001,1,1,23,23.34,93.26
2001,1,2,0,23.05,94.52
2001,1,2,1,22.83,95.15
2001,1,2,2,22.64,95.63
2001,1,2,3,22.52,95.85
2001,1,2,4,22.45,95.92
2001,1,2,5,22.45,95.81
2001,1,2,6,23.3,92.19
2001,1,2,7,24.37,86.5
2001,1,2,8,25.68,80.12
2001,1,2,9,27.09,73.71
2001,1,2,10,28.23,68.79
2001,1,2,11,29.03,65.73
2001,1,2,12,29.65,63.82
2001,1,2,13,29.52,64.14
2001,1,2,14,28.95,66.61
2001,1,2,15,28.09,70.54
2001,1,2,16,26.92,76.35
2001,1,2,17,25.61,84.21
2001,1,2,18,24.64,90.01
2001,1,2,19,24.22,92.65
2001,1,2,20,23.99,94.32
2001,1,2,21,23.9,95.3
2001,1,2,22,23.79,95.82
2001,1,2,23,23.63,96.34
2001,1,3,0,23.49,96.59
2001,1,3,1,23.35,96.83
2001,1,3,2,23.2,97.15
2001,1,3,3,23.08,97.31
2001,1,3,4,23.01,97.26
2001,1,3,5,22.97,97.17
2001,1,3,6,23.51,95.12
2001,1,3,7,24.13,91.1
2001,1,3,8,24.79,87.13
2001,1,3,9,25.54,82.58
2001,1,3,10,26.1,79.45
2001,1,3,11,26.35,78.25
2001,1,3,12,26.43,78.14
2001,1,3,13,26.33,78.95
2001,1,3,14,26.04,80.5
2001,1,3,15,25.53,83.32
2001,1,3,16,24.9,86.91
2001,1,3,17,24.23,91.2
2001,1,3,18,23.74,94.85
2001,1,3,19,23.54,95.85
2001,1,3,20,23.41,96.23
2001,1,3,21,23.29,96.25
2001,1,3,22,23.15,96.26
2001,1,3,23,23.02,96.17
2001,1,4,0,22.89,95.96
2001,1,4,1,22.72,95.87
2001,1,4,2,22.55,95.89
2001,1,4,3,22.39,95.76
2001,1,4,4,22.25,95.88
2001,1,4,5,22.14,96.01
2001,1,4,6,22.79,93.55
2001,1,4,7,23.87,88.35
2001,1,4,8,25.22,80.61
2001,1,4,9,26.46,74.32
2001,1,4,10,27.32,71.18
2001,1,4,11,27.72,69.57
2001,1,4,12,27.81,69.3
2001,1,4,13,27.89,69.78
2001,1,4,14,27.85,70.18
2001,1,4,15,27.23,73.35
2001,1,4,16,26.34,79.87
2001,1,4,17,25.3,85.98
2001,1,4,18,24.36,93.24
2001,1,4,19,24.02,94.66
2001,1,4,20,23.84,95.23
2001,1,4,21,23.72,95.36
2001,1,4,22,23.58,95.58
2001,1,4,23,23.43,95.87
2001,1,5,0,23.28,96.28
2001,1,5,1,23.16,96.57
2001,1,5,2,23.06,96.82
2001,1,5,3,22.98,96.93
2001,1,5,4,22.89,97.28
2001,1,5,5,22.84,97.35
2001,1,5,6,23.35,95.76
2001,1,5,7,23.97,93
2001,1,5,8,24.63,89.64
2001,1,5,9,25.25,85.65
2001,1,5,10,25.75,82.24
2001,1,5,11,26.06,79.98
2001,1,5,12,26.22,78.57
2001,1,5,13,26.15,78.37
2001,1,5,14,25.82,79.4
2001,1,5,15,25.34,81.52
2001,1,5,16,24.7,85.74
2001,1,5,17,23.94,91.23
2001,1,5,18,23.3,94.19
2001,1,5,19,23.1,94.7
2001,1,5,20,22.9,95.13
2001,1,5,21,22.71,95.47
2001,1,5,22,22.53,95.61
2001,1,5,23,22.4,95.87
2001,1,6,0,22.27,96.24
2001,1,6,1,22.23,96.25
2001,1,6,2,22.21,96.22
2001,1,6,3,22.11,96.41
2001,1,6,4,21.99,96.86
2001,1,6,5,21.92,97.11
2001,1,6,6,22.74,94.54
2001,1,6,7,23.75,90.44
2001,1,6,8,24.93,84.73
2001,1,6,9,25.98,79.72
2001,1,6,10,26.71,75.8
2001,1,6,11,27.13,73.52
2001,1,6,12,27.37,72.32
2001,1,6,13,27.27,72.11
2001,1,6,14,27.11,72.33
2001,1,6,15,26.5,75.54
2001,1,6,16,25.64,81.16
2001,1,6,17,24.64,88.52
2001,1,6,18,23.9,94.88
2001,1,6,19,23.61,96.43
2001,1,6,20,23.46,97.24
2001,1,6,21,23.37,97.46
2001,1,6,22,23.32,97.48
2001,1,6,23,23.24,97.48
2001,1,7,0,23.14,97.57
2001,1,7,1,23.04,97.68
2001,1,7,2,22.93,97.69
2001,1,7,3,22.77,97.81
2001,1,7,4,22.67,97.76
2001,1,7,5,22.63,97.26
2001,1,7,6,23.23,95.7
2001,1,7,7,24.01,92.17
2001,1,7,8,24.63,89.16
2001,1,7,9,25.13,87.15
2001,1,7,10,25.43,85.86
2001,1,7,11,25.56,85.11
2001,1,7,12,25.52,85.02
2001,1,7,13,25.46,85.17
2001,1,7,14,25.38,85.25
2001,1,7,15,25.14,85.99
2001,1,7,16,24.73,88
2001,1,7,17,24.03,92.19
2001,1,7,18,23.22,95.21
2001,1,7,19,22.86,95.67
2001,1,7,20,22.49,96.15
2001,1,7,21,22.2,96.61
2001,1,7,22,21.95,97.19
2001,1,7,23,21.81,97.67
2001,1,8,0,21.8,98.02
2001,1,8,1,21.87,98.15
2001,1,8,2,22,98.1
2001,1,8,3,22.15,97.98
2001,1,8,4,22.15,98.32
2001,1,8,5,22.23,98.25
2001,1,8,6,22.89,96.93
2001,1,8,7,23.66,94.5
2001,1,8,8,24.37,91.39
2001,1,8,9,25.05,88.14
2001,1,8,10,25.58,84.97
2001,1,8,11,25.92,82.28
2001,1,8,12,26.15,80.01
2001,1,8,13,26.12,79.43
2001,1,8,14,25.85,80.55
2001,1,8,15,25.3,83.46
2001,1,8,16,24.63,87.69
2001,1,8,17,23.88,92.76
2001,1,8,18,23.31,95.59
2001,1,8,19,23.07,96.34
2001,1,8,20,22.83,96.87
2001,1,8,21,22.58,97.22
2001,1,8,22,22.4,97.52
2001,1,8,23,22.31,97.29
2001,1,9,0,22.22,97.31
2001,1,9,1,22.14,97.28
2001,1,9,2,22.06,97.25
2001,1,9,3,21.94,97.26
2001,1,9,4,21.78,97.42
2001,1,9,5,21.73,97.3
2001,1,9,6,22.5,95.47
2001,1,9,7,23.33,92.66
2001,1,9,8,24.27,88.55
2001,1,9,9,25.23,83.38
2001,1,9,10,25.98,78.48
2001,1,9,11,26.33,75.57
2001,1,9,12,26.33,75.26
2001,1,9,13,26.23,75.08
2001,1,9,14,26.06,75.31
2001,1,9,15,25.67,76.83
2001,1,9,16,25.06,80.22
2001,1,9,17,24.03,88.07
2001,1,9,18,22.96,94.48
2001,1,9,19,22.63,95.77
2001,1,9,20,22.43,96.48
2001,1,9,21,22.27,97.06
2001,1,9,22,22.12,97.37
2001,1,9,23,21.94,97.65
2001,1,10,0,21.76,97.95
2001,1,10,1,21.6,98.16
2001,1,10,2,21.48,98.21
2001,1,10,3,21.4,98.22
2001,1,10,4,21.33,98.38
2001,1,10,5,21.33,98.26
2001,1,10,6,22.42,94.81
2001,1,10,7,23.41,90.45
2001,1,10,8,24.68,83.64
2001,1,10,9,26.17,75.82
2001,1,10,10,26.86,71.42
2001,1,10,11,27.09,69.91
2001,1,10,12,26.97,70.48
2001,1,10,13,26.62,71.99
2001,1,10,14,25.86,75.68
2001,1,10,15,25.22,78.93
2001,1,10,16,24.59,82.51
2001,1,10,17,23.75,88.44
2001,1,10,18,22.75,94.9
2001,1,10,19,22.44,96.48
2001,1,10,20,22.18,97.22
2001,1,10,21,21.97,97.64
2001,1,10,22,21.77,98.01
2001,1,10,23,21.69,97.91
2001,1,11,0,21.59,97.97
2001,1,11,1,21.51,97.91
2001,1,11,2,21.4,97.94
2001,1,11,3,21.29,97.87
2001,1,11,4,21.17,98.01
2001,1,11,5,21.13,98.1
2001,1,11,6,22.31,95.19
2001,1,11,7,23.29,91.45
2001,1,11,8,23.94,89.09
2001,1,11,9,24.53,86.33
2001,1,11,10,25.16,82.16
2001,1,11,11,26,76.73
2001,1,11,12,26.89,71.03
2001,1,11,13,27.23,67.99
2001,1,11,14,27.13,67.42
2001,1,11,15,26.7,68.78
2001,1,11,16,25.9,73.08
2001,1,11,17,24.69,82.65
2001,1,11,18,23.41,90.95
2001,1,11,19,22.98,92.43
2001,1,11,20,22.6,93.7
2001,1,11,21,22.3,94.61
2001,1,11,22,22.02,95.43
2001,1,11,23,21.78,96.11
2001,1,12,0,21.53,97.23
2001,1,12,1,21.38,97.78
2001,1,12,2,21.32,97.99
2001,1,12,3,21.27,98.22
2001,1,12,4,21.25,98.47
2001,1,12,5,21.26,98.76
2001,1,12,6,22.44,94.31
2001,1,12,7,23.54,87.94
2001,1,12,8,24.36,81.36
2001,1,12,9,25.1,75.83
2001,1,12,10,25.89,70.73
2001,1,12,11,26.57,66.97
2001,1,12,12,26.99,64.68
2001,1,12,13,27.17,63.36
2001,1,12,14,27.07,62.85
2001,1,12,15,26.69,63.51
2001,1,12,16,25.97,66.43
2001,1,12,17,24.44,76.51
2001,1,12,18,22.65,86.9
2001,1,12,19,22.12,90.04
2001,1,12,20,21.71,92.26
2001,1,12,21,21.32,94.15
2001,1,12,22,20.96,96.43
2001,1,12,23,20.64,98.54
2001,1,13,0,20.46,99.76
2001,1,13,1,20.46,99.82
2001,1,13,2,20.39,100
2001,1,13,3,20.32,100
2001,1,13,4,20.29,100
2001,1,13,5,20.39,100
2001,1,13,6,22.19,94.01
2001,1,13,7,23.94,84.93
2001,1,13,8,25.9,73.17
2001,1,13,9,27.39,65.93
2001,1,13,10,28.32,63.72
2001,1,13,11,28.94,62.77
2001,1,13,12,29.19,62.08
2001,1,13,13,29.05,62.31
2001,1,13,14,28.52,63.35
2001,1,13,15,27.78,65.11
2001,1,13,16,26.8,68.41
2001,1,13,17,25.27,76.25
2001,1,13,18,23.65,85.92
2001,1,13,19,23.04,89.72
2001,1,13,20,22.62,92.33
2001,1,13,21,22.28,94.18
2001,1,13,22,22.02,95.33
2001,1,13,23,21.69,96.87
2001,1,14,0,21.45,97.8
2001,1,14,1,21.32,98.02
2001,1,14,2,21.24,97.91
2001,1,14,3,21.13,97.93
2001,1,14,4,21.01,98.17
2001,1,14,5,20.99,98.15
2001,1,14,6,22.23,92.73
2001,1,14,7,23.7,84.37
2001,1,14,8,25.32,75.53
2001,1,14,9,26.88,68.31
2001,1,14,10,28.02,64.31
