YEAR,MO,DY,HR,T2M,RH2M
2024,1,1,0,24.38,95.8
2024,1,1,1,24.3,95.59
2024,1,1,2,24.25,95.24
2024,1,1,3,24.2,94.93
2024,1,1,4,24.13,94.81
2024,1,1,5,24.1,94.64
2024,1,1,6,24.79,94.04
2024,1,1,7,25.75,89.63
2024,1,1,8,26.79,83.2
2024,1,1,9,27.55,79.16
2024,1,1,10,28.26,75.73
2024,1,1,11,28.81,73.18
2024,1,1,12,29.08,71.32
2024,1,1,13,29.08,70.58
2024,1,1,14,28.85,71.22
2024,1,1,15,28.47,73.14
2024,1,1,16,27.89,78.14
2024,1,1,17,27.07,83.17
2024,1,1,18,25.97,90.97
2024,1,1,19,25.6,92.26
2024,1,1,20,25.4,92.6
2024,1,1,21,25.25,92.54
2024,1,1,22,25.16,92.16
2024,1,1,23,24.99,92.72
2024,1,2,0,24.67,94.49
2024,1,2,1,24.39,95.77
2024,1,2,2,24.2,96.44
2024,1,2,3,24.11,96.75
2024,1,2,4,24.07,96.96
2024,1,2,5,24.07,96.91
2024,1,2,6,24.96,95.41
2024,1,2,7,25.97,90.9
2024,1,2,8,27.01,84.9
2024,1,2,9,27.66,79.04
2024,1,2,10,28.2,75.01
2024,1,2,11,28.54,73.38
2024,1,2,12,28.68,72.65
2024,1,2,13,28.61,72.62
2024,1,2,14,28.28,74.1
2024,1,2,15,27.69,77.14
2024,1,2,16,26.94,82.76
2024,1,2,17,26.15,88.4
2024,1,2,18,25.39,93.67
2024,1,2,19,25.12,94.85
2024,1,2,20,24.99,95.53
2024,1,2,21,24.95,95.4
2024,1,2,22,24.94,94.6
2024,1,2,23,24.72,95.07
2024,1,3,0,24.5,95.72
2024,1,3,1,24.32,96.13
2024,1,3,2,24.17,96.24
2024,1,3,3,24.09,95.84
2024,1,3,4,24.09,95.21
2024,1,3,5,24.06,94.93
2024,1,3,6,24.63,95.79
2024,1,3,7,25.53,91.7
2024,1,3,8,26.12,87.49
2024,1,3,9,26.62,84.2
2024,1,3,10,27.12,80.8
2024,1,3,11,27.56,77.39
2024,1,3,12,27.81,74.9
2024,1,3,13,27.98,73.34
2024,1,3,14,27.94,73.19
2024,1,3,15,27.61,74.72
2024,1,3,16,27.08,78.62
2024,1,3,17,26.19,86.06
2024,1,3,18,25.13,91.28
2024,1,3,19,24.93,90.98
2024,1,3,20,24.65,91.58
2024,1,3,21,24.21,93.14
2024,1,3,22,23.84,94.26
2024,1,3,23,23.55,94.83
2024,1,4,0,23.24,95.28
2024,1,4,1,22.94,95.72
2024,1,4,2,22.65,96.06
2024,1,4,3,22.4,96.25
2024,1,4,4,22.21,96.21
2024,1,4,5,22.1,96.07
2024,1,4,6,23.1,92.92
2024,1,4,7,24.02,87.97
2024,1,4,8,25.34,81.39
2024,1,4,9,26.22,76.67
2024,1,4,10,26.74,74.2
2024,1,4,11,26.97,73.25
2024,1,4,12,27.05,73.14
2024,1,4,13,27.02,73.5
2024,1,4,14,26.82,74.81
2024,1,4,15,26.43,77.69
2024,1,4,16,25.83,82.9
2024,1,4,17,25.03,87.9
2024,1,4,18,24.22,93.94
2024,1,4,19,23.9,94.55
2024,1,4,20,23.63,94.79
2024,1,4,21,23.34,95.09
2024,1,4,22,23.17,95.13
2024,1,4,23,23.02,95.23
2024,1,5,0,22.82,95.66
2024,1,5,1,22.61,95.99
2024,1,5,2,22.46,95.89
2024,1,5,3,22.36,95.58
2024,1,5,4,22.32,95
2024,1,5,5,22.31,94.31
2024,1,5,6,23.35,91.59
2024,1,5,7,25.16,80.73
2024,1,5,8,27.24,69.79
2024,1,5,9,28.9,64.1
2024,1,5,10,29.96,61.72
2024,1,5,11,30.48,61.12
2024,1,5,12,30.55,61.46
2024,1,5,13,30.36,62.51
2024,1,5,14,29.7,65.11
2024,1,5,15,28.93,68.95
2024,1,5,16,28,74.13
2024,1,5,17,26.9,81.39
2024,1,5,18,25.84,90.24
2024,1,5,19,25.36,92.58
2024,1,5,20,25.08,93.17
2024,1,5,21,24.9,92.86
2024,1,5,22,24.72,92.62
2024,1,5,23,24.49,92.82
2024,1,6,0,24.14,94.07
2024,1,6,1,23.91,95.01
2024,1,6,2,23.68,95.68
2024,1,6,3,23.5,95.94
2024,1,6,4,23.46,95.36
2024,1,6,5,23.64,93.76
2024,1,6,6,24.6,92.81
2024,1,6,7,26.19,83.54
2024,1,6,8,27.14,79.01
2024,1,6,9,27.99,75.77
2024,1,6,10,28.61,73.43
2024,1,6,11,28.94,72.26
2024,1,6,12,28.97,72.33
2024,1,6,13,28.57,74.33
2024,1,6,14,27.79,78.61
2024,1,6,15,26.95,83.59
2024,1,6,16,26.12,88.69
2024,1,6,17,25.38,92.99
2024,1,6,18,24.94,95.45
2024,1,6,19,24.73,96.28
2024,1,6,20,24.49,96.92
2024,1,6,21,24.29,97.35
2024,1,6,22,24.1,97.81
2024,1,6,23,23.99,97.75
2024,1,7,0,23.94,97.43
2024,1,7,1,23.87,97.32
2024,1,7,2,23.85,97.1
2024,1,7,3,23.81,96.98
2024,1,7,4,23.67,97.21
2024,1,7,5,23.59,97.5
2024,1,7,6,24.07,96.54
2024,1,7,7,24.57,94.1
2024,1,7,8,25.02,92.21
2024,1,7,9,25.46,90.13
2024,1,7,10,25.92,87.85
2024,1,7,11,26.15,86.93
