Ambient_Temp,Ambient_hum,Rear_bearing,Front_bearing,Motor_1,Motor_2,Motor_3,Bed_1,Bed_2,Bed_3,Outside_hum,Outside_Temp,Ballscrew,,
26.3,76.6,27.74,27.69,27.72,27.66,27.66,27.78,27.71,27.72,74.8,29.12,27.7,,
26.3,76.8,27.74,27.69,27.72,27.66,27.66,27.78,27.71,27.69,74.8,29.12,27.7,,
26.3,77,27.74,27.72,27.69,27.66,27.69,27.78,27.71,27.69,74.8,29.12,27.73,,
26.3,76.9,27.74,27.69,27.69,27.7,27.62,27.78,27.71,27.69,75,29.12,27.7,,
26.3,77.3,27.74,27.69,27.72,27.66,27.66,27.78,27.71,27.69,75.1,29.12,27.7,,
26.3,77.2,27.74,27.72,27.69,27.66,27.66,27.78,27.71,27.72,75.1,29.12,27.7,,
26.3,77,27.74,27.72,27.69,27.66,27.66,27.78,27.71,27.69,74.7,29.12,27.7,,
26.3,76.8,27.74,27.69,27.72,27.7,27.69,27.75,27.71,27.69,74.7,29.12,27.7,,
26.3,76.5,27.74,27.72,27.69,27.66,27.66,27.78,27.71,27.69,74.4,29.12,27.7,,
26.3,76.3,27.71,27.69,27.69,27.66,27.66,27.78,27.71,27.69,74.2,29.12,27.7,,
26.3,76.1,27.71,27.69,27.69,27.66,27.69,27.78,27.71,27.72,74.2,29.12,27.7,,
26.3,76,27.74,27.66,27.69,27.63,27.66,27.78,27.71,27.69,73.9,29.12,27.7,,
26.3,75.9,27.74,27.69,27.72,27.66,27.66,27.78,27.65,27.72,73.8,29.12,27.7,,
26.3,75.8,27.74,27.69,27.69,27.66,27.66,27.78,27.71,27.69,73.8,29.12,27.7,,
26.3,75.7,27.71,27.72,27.69,27.66,27.66,27.75,27.71,27.72,73.8,29.12,27.7,,
26.3,75.6,27.74,27.69,27.72,27.66,27.66,27.82,27.68,27.69,73.8,29.12,27.7,,
26.3,75.5,27.71,27.72,27.69,27.63,27.69,27.78,27.68,27.69,73.8,29.12,27.7,,
26.3,75.4,27.74,27.69,27.72,27.66,27.66,27.78,27.68,27.69,73.7,29.22,27.7,,
26.3,75.4,27.74,27.69,27.69,27.7,27.69,27.78,27.68,27.72,73.7,29.22,27.7,,
26.3,75.4,27.74,27.69,27.69,27.66,27.66,27.78,27.68,27.69,73.7,29.22,27.67,,
26.3,75.3,27.74,27.69,27.72,27.66,27.66,27.78,27.68,27.69,73.7,29.22,27.7,,
26.3,75.3,27.74,27.69,27.69,27.66,27.66,27.75,27.68,27.69,73.7,29.22,27.7,,
26.3,75.4,27.74,27.69,27.72,27.63,27.66,27.78,27.68,27.72,73.7,29.22,27.7,,
26.3,75.3,27.71,27.69,27.69,27.63,27.62,27.78,27.68,27.69,73.7,29.22,27.7,,
26.3,75.4,27.74,27.69,27.72,27.66,27.66,27.75,27.68,27.72,73.7,29.22,27.7,,
26.3,75.6,27.74,27.69,27.69,27.66,27.66,27.78,27.68,27.69,73.7,29.22,27.7,,
26.3,75.6,27.74,27.66,27.72,27.66,27.66,27.78,27.68,27.69,73.7,29.22,27.7,,
26.3,75.7,27.74,27.66,27.69,27.66,27.66,27.75,27.68,27.69,73.7,29.22,27.7,,
26.3,75.7,27.71,27.69,27.69,27.66,27.66,27.78,27.68,27.69,73.7,29.22,27.7,,
26.3,75.7,27.71,27.69,27.69,27.66,27.66,27.75,27.68,27.69,73.7,29.22,27.73,,
26.3,75.7,27.74,27.69,27.69,27.66,27.66,27.78,27.68,27.72,73.7,29.22,27.7,,
26.3,75.7,27.74,27.69,27.69,27.63,27.66,27.75,27.68,27.69,73.7,29.22,27.7,,
26.3,75.7,27.71,27.69,27.72,27.66,27.66,27.78,27.68,27.72,73.7,29.22,27.7,,
26.3,75.7,27.74,27.69,27.69,27.66,27.66,27.78,27.68,27.69,73.7,29.22,27.7,,
26.3,75.7,27.71,27.69,27.69,27.7,27.66,27.78,27.68,27.69,73.7,29.22,27.7,,
26.3,75.5,27.74,27.69,27.72,27.63,27.66,27.78,27.68,27.72,73.7,29.22,27.7,,
26.3,75.4,27.74,27.69,27.69,27.66,27.66,27.78,27.54,27.69,73.7,29.22,27.7,,
26.3,75.4,27.74,27.69,27.69,27.66,27.66,27.78,27.68,27.69,74.9,29.42,27.7,,
26.3,75.3,27.71,27.69,27.65,27.66,27.66,27.78,27.68,27.69,74.9,29.42,27.7,,
26.3,75.3,27.71,27.69,27.69,27.66,27.66,27.78,27.68,27.69,74.9,29.42,27.7,,
26.3,75.2,27.71,27.69,27.69,27.66,27.66,27.78,27.71,27.69,74.9,29.42,27.7,,
26.3,75.2,27.74,27.66,27.72,27.66,27.66,27.78,27.71,27.69,74.9,29.42,27.7,,
26.3,75.1,27.74,27.69,27.69,27.66,27.66,27.75,27.68,27.72,74.5,29.42,27.7,,
26.3,75.1,27.74,27.69,27.69,27.66,27.66,27.75,27.68,27.72,74.5,29.42,27.7,,
26.3,75.1,27.74,27.69,27.69,27.66,27.62,27.78,27.71,27.69,74.5,29.42,27.67,,
26.3,75,27.74,27.72,27.69,27.66,27.66,27.78,27.71,27.69,73.8,29.42,27.7,,
26.3,75,27.74,27.69,27.69,27.66,27.66,27.75,27.68,27.69,73.8,29.42,27.7,,
26.3,75,27.74,27.66,27.69,27.66,27.62,27.75,27.71,27.72,73.2,29.42,27.7,,
26.3,75,27.74,27.69,27.72,27.66,27.66,27.78,27.71,27.69,73.1,29.42,27.73,,
26.3,75.1,27.71,27.72,27.69,27.66,27.66,27.78,27.71,27.69,73.1,29.42,27.7,,
26.3,75,27.71,27.72,27.72,27.66,27.62,27.78,27.68,27.69,73.1,29.42,27.7,,
26.3,75,27.74,27.69,27.69,27.7,27.66,27.75,27.71,27.69,73.1,29.42,27.7,,
26.3,75,27.74,27.69,27.72,27.66,27.66,27.78,27.71,27.72,73.4,29.42,27.7,,
26.3,74.9,27.74,27.69,27.69,27.66,27.69,27.75,27.68,27.69,73.3,29.42,27.67,,
26.3,74.7,27.74,27.69,27.72,27.66,27.66,27.78,27.71,27.69,73.3,29.42,27.7,,
26.3,74.7,27.74,27.69,27.69,27.66,27.62,27.78,27.71,27.72,73,29.42,27.67,,
26.3,74.5,27.74,27.69,27.69,27.66,27.62,27.78,27.71,27.69,73,29.52,27.7,,
26.3,74.5,27.74,27.72,27.65,27.66,27.62,27.78,27.75,27.69,73,29.52,27.7,,
26.3,74.5,27.71,27.72,27.69,27.66,27.66,27.78,27.71,27.65,73,29.52,27.7,,
26.3,74.5,27.71,27.69,27.69,27.66,27.66,27.75,27.71,27.72,73,29.52,27.7,,
26.3,74.4,27.71,27.72,27.69,27.66,27.62,27.78,27.71,27.69,73,29.52,27.7,,
26.3,74.5,27.74,27.66,27.65,27.66,27.62,27.78,27.68,27.69,73.4,29.52,27.7,,
26.3,74.5,27.71,27.69,27.69,27.66,27.66,27.75,27.71,27.69,72.9,29.52,27.7,,
26.3,74.5,27.74,27.69,27.72,27.66,27.62,27.78,27.68,27.69,72.9,29.52,27.7,,
26.3,74.5,27.71,27.72,27.69,27.66,27.66,27.75,27.68,27.69,72.9,29.52,27.7,,
26.3,74.5,27.74,27.69,27.72,27.63,27.66,27.78,27.71,27.72,72.9,29.52,27.7,,
26.3,74.5,27.74,27.69,27.72,27.63,27.66,27.75,27.71,27.69,72.9,29.62,27.67,,
26.3,74.5,27.71,27.69,27.69,27.63,27.66,27.78,27.71,27.69,72.9,29.62,27.7,,
26.3,74.6,27.74,27.69,27.69,27.63,27.66,27.75,27.68,27.69,73.2,29.62,27.7,,
26.3,74.7,27.74,27.69,27.72,27.66,27.66,27.78,27.71,27.72,73.2,29.62,27.7,,
26.3,74.8,27.74,27.69,27.69,27.66,27.66,27.75,27.71,27.65,73.2,29.62,27.7,,
26.3,74.8,27.74,27.69,27.69,27.63,27.62,27.78,27.68,27.69,73.2,29.62,27.7,,
26.3,74.7,27.74,27.69,27.69,27.66,27.62,27.78,27.71,27.69,73.2,29.62,27.7,,
26.3,74.6,27.71,27.69,27.69,27.66,27.62,27.78,27.71,27.69,73.2,29.62,27.7,,
26.3,74.5,27.74,27.69,27.69,27.66,27.62,27.78,27.68,27.69,73.5,29.62,27.7,,
26.3,74.5,27.71,27.69,27.69,27.66,27.62,27.78,27.68,27.72,73.3,29.62,27.7,,
26.3,74.5,27.71,27.69,27.65,27.63,27.62,27.75,27.71,27.69,73.3,29.62,27.7,,
26.3,74.5,27.71,27.69,27.69,27.66,27.66,27.78,27.68,27.72,73.3,29.62,27.7,,
26.3,74.5,27.74,27.69,27.69,27.66,27.62,27.78,27.51,27.69,72.9,29.62,27.7,,
26.3,74.6,27.74,27.69,27.69,27.63,27.62,27.78,27.51,27.69,72.9,29.62,27.7,,
26.3,74.7,27.71,27.69,27.69,27.66,27.66,27.75,27.68,27.69,72.9,29.62,27.7,,
26.3,74.6,27.74,27.69,27.69,27.66,27.66,27.75,27.71,27.69,72.9,29.62,27.67,,
26.3,74.7,27.71,27.69,27.69,27.66,27.62,27.78,27.71,27.69,72.9,29.62,27.7,,
26.3,74.6,27.74,27.69,27.69,27.66,27.62,27.75,27.71,27.72,72.9,29.62,27.7,,
26.3,74.6,27.74,27.69,27.69,27.66,27.62,27.75,27.71,27.72,72.3,29.72,27.67,,
26.3,74.4,27.71,27.69,27.69,27.66,27.62,27.75,27.71,27.69,72.2,29.72,27.7,,
26.3,74.4,27.71,27.69,27.65,27.63,27.62,27.78,27.68,27.69,72.2,29.72,27.7,,
26.3,74.4,27.71,27.69,27.69,27.66,27.62,27.78,27.71,27.69,72.2,29.72,27.7,,
26.3,74.4,27.71,27.69,27.69,27.66,27.62,27.78,27.51,27.65,72.2,29.72,27.7,,
26.3,74.4,27.71,27.69,27.69,27.66,27.62,27.78,27.48,27.69,72,29.72,27.7,,
26.3,74.3,27.74,27.69,27.69,27.66,27.62,27.75,27.51,27.69,72,29.72,27.67,,
26.3,74.1,27.71,27.69,27.69,27.66,27.62,27.75,27.51,27.69,71.9,29.72,27.7,,
26.3,74.1,27.71,27.72,27.69,27.66,27.66,27.75,27.41,27.65,71.9,29.72,27.7,,
26.3,74,27.74,27.69,27.69,27.66,27.62,27.78,27.41,27.69,71.9,29.72,27.67,,
26.3,73.9,27.67,27.66,27.69,27.63,27.62,27.78,27.41,27.69,71.9,29.72,27.67,,
26.4,73.9,27.71,27.69,27.69,27.66,27.66,27.78,27.68,27.69,71.9,29.72,27.7,,
26.3,74,27.74,27.69,27.69,27.66,27.62,27.78,27.68,27.69,71.9,29.72,27.67,,
26.3,74.1,27.71,27.72,27.69,27.63,27.62,27.75,27.71,27.69,71.9,29.72,27.67,,
26.3,74,27.71,27.69,27.69,27.63,27.62,27.78,27.68,27.69,71.9,29.72,27.67,,
26.3,74,27.71,27.69,27.69,27.66,27.62,27.78,27.68,27.69,71.9,29.72,27.7,,
26.3,74,27.74,27.69,27.69,27.63,27.62,27.75,27.68,27.69,71.9,29.72,27.7,,
26.3,73.9,27.71,27.69,27.69,27.63,27.62,27.75,27.68,27.69,71.8,29.72,27.7,,
26.4,73.9,27.74,27.69,27.69,27.63,27.66,27.75,27.61,27.69,71.8,29.72,27.7,,
26.3,73.9,27.71,27.69,27.69,27.63,27.62,27.78,27.61,27.72,71.8,29.72,27.7,,
26.4,73.9,27.71,27.69,27.69,27.63,27.62,27.78,27.65,27.69,71.8,29.72,27.7,,
26.3,73.9,27.71,27.72,27.69,27.66,27.62,27.75,27.65,27.65,71.8,29.72,27.7,,
26.3,73.9,27.71,27.69,27.65,27.66,27.62,27.75,27.68,27.69,71.8,29.72,27.7,,
26.3,73.8,27.71,27.69,27.69,27.63,27.62,27.75,27.68,27.65,71.8,29.72,27.7,,
26.3,73.7,27.71,27.69,27.69,27.66,27.62,27.78,27.68,27.69,71.5,29.82,27.7,,
26.3,73.6,27.71,27.69,27.69,27.66,27.62,27.75,27.68,27.69,71.5,29.82,27.7,,
26.3,73.6,27.71,27.69,27.65,27.66,27.62,27.78,27.68,27.69,71.5,29.82,27.67,,
26.3,73.5,27.71,27.69,27.69,27.63,27.62,27.78,27.68,27.69,71.5,29.82,27.67,,
26.3,73.5,27.71,27.69,27.69,27.66,27.62,27.78,27.68,27.69,71.5,29.82,27.7,,
26.3,73.5,27.67,27.69,27.69,27.63,27.62,27.78,27.68,27.69,71.4,29.82,27.7,,
26.3,73.7,27.71,27.66,27.69,27.63,27.62,27.75,27.68,27.69,71.4,29.82,27.7,,
26.3,73.7,27.71,27.69,27.69,27.63,27.62,27.78,27.68,27.69,71.2,29.82,27.7,,
26.3,73.7,27.71,27.69,27.69,27.63,27.59,27.78,27.54,27.69,71.2,29.82,27.7,,
