R90,R250,R1000,R2000,R3000,R4000
0.106,0.016,0.003,0.028,0.013,0.019
-0.165,-0.01,-0.005,0.021,0.003,0.009
-0.335,0.01,-0.02,0.02,0.003,0.011
-0.532,0.017,-0.022,0.041,-0.005,-0.008
-0.776,-0.011,-0.036,0.036,0.007,-0.003
-0.975,0.022,-0.055,0.023,-0.01,-0.015
-1.127,-0.037,-0.065,0.015,-0.022,-0.019
-1.37,-0.04,-0.072,0.013,-0.01,-0.003
-1.581,-0.112,-0.104,0.015,-0.026,-0.027
-1.749,-0.166,-0.109,0.024,-0.016,-0.038
-1.92,-0.209,-0.125,0,-0.031,-0.03
-2.157,-0.265,-0.136,-0.012,-0.029,-0.017
-2.339,-0.339,-0.178,-0.002,-0.024,-0.023
-2.531,-0.371,-0.185,-0.042,-0.038,-0.049
-2.723,-0.438,-0.183,-0.013,-0.073,-0.041
-2.902,-0.523,-0.211,-0.05,-0.04,-0.041
-3.058,-0.541,-0.235,-0.034,-0.03,-0.047
-3.304,-0.594,-0.237,-0.049,-0.046,-0.046
-3.436,-0.646,-0.255,-0.03,-0.064,-0.048
-3.664,-0.71,-0.281,-0.058,-0.06,-0.059
-3.774,-0.767,-0.265,-0.048,-0.074,-0.049
-4.015,-0.851,-0.288,-0.058,-0.061,-0.052
-4.135,-0.887,-0.318,-0.049,-0.083,-0.07
-4.369,-0.943,-0.341,-0.057,-0.091,-0.092
-4.457,-1.009,-0.347,-0.079,-0.09,-0.076
-4.67,-1.107,-0.347,-0.117,-0.081,-0.09
-4.83,-1.147,-0.366,-0.104,-0.12,-0.095
-4.944,-1.181,-0.377,-0.106,-0.093,-0.088
-5.112,-1.292,-0.393,-0.125,-0.105,-0.083
-5.271,-1.329,-0.393,-0.119,-0.116,-0.101
-5.452,-1.372,-0.413,-0.121,-0.114,-0.116
-5.624,-1.41,-0.427,-0.135,-0.12,-0.11
-5.803,-1.418,-0.44,-0.133,-0.145,-0.108
-5.94,-1.518,-0.463,-0.131,-0.121,-0.134
-6.133,-1.576,-0.455,-0.17,-0.145,-0.13
-6.245,-1.637,-0.476,-0.172,-0.134,-0.115
-6.369,-1.682,-0.475,-0.169,-0.133,-0.118
-6.56,-1.708,-0.491,-0.173,-0.143,-0.142
-6.681,-1.763,-0.527,-0.169,-0.155,-0.132
-6.861,-1.817,-0.519,-0.194,-0.16,-0.128
-7.018,-1.888,-0.542,-0.184,-0.157,-0.152
-7.142,-1.92,-0.536,-0.213,-0.164,-0.144
-7.33,-1.976,-0.568,-0.202,-0.17,-0.146
-7.439,-2.005,-0.578,-0.21,-0.171,-0.141
-7.613,-2.132,-0.587,-0.22,-0.176,-0.139
-7.713,-2.124,-0.598,-0.213,-0.186,-0.152
-7.903,-2.203,-0.597,-0.243,-0.202,-0.163
-7.957,-2.243,-0.628,-0.226,-0.184,-0.152
-8.062,-2.278,-0.628,-0.229,-0.165,-0.14
-8.299,-2.337,-0.639,-0.263,-0.186,-0.151
-8.421,-2.371,-0.653,-0.23,-0.195,-0.139
-8.546,-2.467,-0.651,-0.26,-0.206,-0.154
-8.677,-2.474,-0.672,-0.275,-0.212,-0.165
-8.825,-2.504,-0.68,-0.287,-0.207,-0.155
-8.922,-2.589,-0.707,-0.281,-0.188,-0.144
-9.082,-2.603,-0.712,-0.295,-0.228,-0.163
-9.159,-2.657,-0.725,-0.275,-0.204,-0.156
-9.247,-2.715,-0.721,-0.286,-0.224,-0.157
-9.429,-2.773,-0.732,-0.281,-0.226,-0.166
-9.528,-2.808,-0.746,-0.301,-0.228,-0.167
-9.651,-2.844,-0.76,-0.305,-0.211,-0.165
-9.809,-2.856,-0.768,-0.298,-0.223,-0.163
-9.879,-2.921,-0.765,-0.321,-0.247,-0.187
-9.933,-2.937,-0.795,-0.322,-0.243,-0.192
-10.2,-2.989,-0.786,-0.352,-0.25,-0.172
-10.139,-3.063,-0.809,-0.34,-0.255,-0.177
-10.283,-3.099,-0.79,-0.329,-0.232,-0.199
-10.49,-3.117,-0.819,-0.339,-0.249,-0.184
-10.485,-3.187,-0.828,-0.345,-0.269,-0.185
-10.507,-3.244,-0.849,-0.35,-0.246,-0.183
-10.773,-3.263,-0.848,-0.345,-0.206,-0.188
-10.809,-3.29,-0.877,-0.349,-0.261,-0.183
-10.902,-3.336,-0.865,-0.346,-0.253,-0.185
-11.034,-3.345,-0.869,-0.372,-0.262,-0.222
-11.063,-3.408,-0.881,-0.377,-0.273,-0.189
-11.178,-3.41,-0.905,-0.363,-0.259,-0.201
-11.311,-3.527,-0.889,-0.39,-0.255,-0.197
-11.419,-3.504,-0.907,-0.388,-0.265,-0.207
-11.537,-3.539,-0.918,-0.393,-0.269,-0.21
-11.686,-3.554,-0.902,-0.392,-0.285,-0.198
-11.663,-3.642,-0.932,-0.403,-0.289,-0.206
-11.766,-3.665,-0.927,-0.41,-0.287,-0.199
-11.92,-3.651,-0.929,-0.405,-0.29,-0.216
-12.073,-3.745,-0.933,-0.408,-0.28,-0.238
-12.001,-3.771,-0.966,-0.413,-0.3,-0.213
-12.156,-3.791,-0.971,-0.423,-0.281,-0.201
-12.152,-3.812,-0.976,-0.429,-0.29,-0.209
-12.181,-3.85,-0.959,-0.427,-0.287,-0.236
-12.419,-3.892,-0.988,-0.421,-0.279,-0.219
-12.491,-3.921,-0.982,-0.434,-0.299,-0.229
-12.44,-3.965,-1,-0.447,-0.293,-0.254
-12.594,-3.974,-0.976,-0.452,-0.309,-0.186
-12.662,-3.989,-1.014,-0.444,-0.306,-0.23
-12.776,-4.031,-1.026,-0.435,-0.299,-0.246
-12.806,-4.062,-1.015,-0.446,-0.288,-0.251
-12.867,-4.118,-1.035,-0.465,-0.301,-0.265
-12.984,-4.132,-1.03,-0.457,-0.304,-0.261
-13.017,-4.13,-1.048,-0.461,-0.308,-0.238
-13.068,-4.143,-1.043,-0.477,-0.326,-0.253
-13.103,-4.194,-1.052,-0.461,-0.311,-0.261
-13.186,-4.203,-1.042,-0.494,-0.336,-0.252
-13.29,-4.248,-1.054,-0.466,-0.329,-0.263
-13.281,-4.264,-1.056,-0.471,-0.323,-0.256
-13.352,-4.278,-1.074,-0.485,-0.33,-0.264
-13.412,-4.329,-1.078,-0.497,-0.315,-0.243
-13.496,-4.342,-1.086,-0.488,-0.322,-0.25
-13.556,-4.37,-1.099,-0.488,-0.335,-0.255
