No.;Kode;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;I47;Aspek 1;Aspek 2;Aspek 3;Aspek 4;Aspek 5;Aspek 6;Aspek 7;Aspek 8
1;1010;3;3;5;3;3;3;3;5;3;3;1;1;3;3;3;3;3;3;4;3;1;1;1;1;3;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;3,4;2;3;3,5;1,25;1;4;3,33
2;1020;5;5;4;3;3;3;3;1;3;3;2;3;4;4;3;4;4;3;4;3;3;2;2;3;3;3;3;3;3;3;4;4;5;5;4;4;4;4;4;4;4;4;4;4;5;5;5;3,3;3,25;3,5;3,5;2,75;3,33;4,2;4,5
3;1030;3;3;4;3;3;3;3;3;3;3;2;3;2;2;1;4;3;2;2;2;3;1;2;2;2;1;1;2;3;3;2;4;4;4;4;4;4;4;3;4;4;4;4;4;5;5;3;3,1;2,25;2,5;2;1,75;2,67;3,9;4,17
4;1040;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;4;3;2;3;3;3;2;3;3;3;2;2;3;3;3;3;4;4;4;4;4;4;4;3;3;3;4;4;4;3;3;4;3,1;3,25;3;3;2,63;3;3,7;3,67
5;2000;5;5;5;4;5;5;5;5;5;5;4;4;4;4;5;5;5;3;4;4;3;3;4;3;4;3;4;4;3;3;3;4;4;4;4;4;4;4;3;4;5;4;4;4;5;5;4;4,9;4;4,5;4;3,5;3;4;4,33
6;2010;4;4;5;4;4;3;4;3;3;5;3;3;3;3;3;4;3;3;4;4;4;4;2;3;3;2;2;3;3;3;2;4;4;4;4;4;4;4;3;4;3;4;2;4;5;4;3;3,9;3;3,25;4;2,88;2,67;3,8;3,67
7;2040;5;5;5;5;5;5;5;5;5;5;4;4;5;3;4;4;4;4;5;4;5;4;4;4;4;4;4;4;3;3;3;4;5;5;5;5;5;5;4;3;5;4;5;4;5;5;5;5;4;4;4,5;4,13;3;4,6;4,67
8;2050;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;2;2;2;3;3;3;3;3;3;2;3;2;2;3;5;5;4;4;4;4;4;3;5;4;4;5;5;5;5;3;3;2,25;2,75;2;2,88;2,33;4,2;4,5
9;2060;4;4;4;4;4;4;4;4;4;5;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;5;4;5;4;4;5;5;3;4,1;3,25;4;4;4;3,33;4;4,33
10;2100;5;5;5;5;5;5;5;5;5;5;2;2;3;2;3;3;3;3;5;1;1;4;2;1;1;2;3;3;3;3;2;4;4;4;4;3;4;4;3;4;3;4;4;5;3;3;2;5;2,25;3;3;2,13;2,67;3,7;3,5
11;2120;5;5;5;5;2;2;2;3;3;5;3;3;5;5;5;3;3;3;4;4;4;4;3;3;3;2;3;3;3;3;3;4;4;4;5;4;4;4;5;4;5;4;4;4;5;4;4;3,7;4;3,5;4;3,13;3;4,3;4,17
12;3001;4;4;4;4;4;4;4;4;4;5;4;4;4;3;3;3;3;4;2;4;2;3;3;3;2;1;2;1;2;2;4;4;4;4;4;5;3;5;3;4;5;4;4;2;5;5;5;4,1;3,75;3,25;3;2,13;2,67;4,1;4,17
13;3002;1;2;3;5;1;1;1;1;1;4;4;2;5;3;5;5;5;1;5;4;1;1;1;1;2;2;1;1;1;1;1;4;3;5;4;5;3;3;3;3;4;4;3;5;5;5;5;2;3,5;4;4,5;1,25;1;3,7;4,5
14;3003;3;3;4;3;3;3;3;3;3;3;3;3;2;3;4;3;4;2;5;5;3;4;3;3;3;3;3;4;3;3;3;4;4;4;5;3;3;4;2;3;4;4;4;4;4;3;3;3,1;2,75;3,25;5;3,25;3;3,6;3,67
15;3004;2;5;3;5;5;2;5;5;3;3;3;3;5;3;5;5;5;2;3;5;2;2;2;3;3;3;2;5;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3,8;3,5;4,25;4;2,75;3;5;5
16;3005;5;5;5;4;5;5;5;5;5;5;4;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;2;5;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;4,9;4,5;4,75;5;4,63;3;4,9;4,5
17;3006;2;5;2;3;3;4;4;2;5;4;4;3;2;3;4;5;5;2;4;5;3;2;2;1;2;1;2;4;3;3;3;5;5;4;5;5;5;4;4;5;5;5;5;2;5;5;5;3,4;3;4;4,5;2,13;3;4,7;4,5
