No.,Kode,I01_D1.1_A1,I02_D1.1_A1,I03_D1.1_A1,I04_D1.1_A1,I05_D1.1_A1,I06_D1.1_A1,I07_D1.1_A1,I08_D1.1_A1,I09_D1.1_A1,I10_D1.1_A1,I11_D2.1_A2,I12_D2.1_A2,I13_D2.1_A2,I14_D2.1_A2,I15_D2.2_A3,I16_D2.2_A3,I17_D2.2_A3,I18_D2.2_A3,I19_D2.3_A4,I20_D2.3_A4,I21_D3.1_A5,I22_D3.1_A5,I23_D3.1_A5,I24_D3.1_A5,I25_D3.1_A5,I26_D3.1_A5,I27_D3.1_A5,I28_D3.1_A5,I29_D3.2_A6,I30_D3.2_A6,I31_D3.2_A6,I32_D4.1_A7,I33_D4.1_A7,I34_D4.1_A7,I35_D4.1_A7,I36_D4.1_A7,I37_D4.1_A7,I38_D4.1_A7,I39_D4.1_A7,I40_D4.1_A7,I41_D4.1_A7,I42_D4.2_A8,I43_D4.2_A8,I44_D4.2_A8,I45_D4.2_A8,I46_D4.2_A8,I47_D4.2_A8,Domain 1,Domain 2,Domain 3,Domain 4,Indeks
1,1010,3,3,5,3,3,3,3,5,3,3,1,1,3,3,3,3,3,3,4,3,1,1,1,1,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,3.4,2.7,1.18,3.74,3.01
2,1020,5,5,4,3,3,3,3,1,3,3,2,3,4,4,3,4,4,3,4,3,3,2,2,3,3,3,3,3,3,3,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,3.3,3.4,2.91,4.32,3.72
3,1030,3,3,4,3,3,3,3,3,3,3,2,3,2,2,1,4,3,2,2,2,3,1,2,2,2,1,1,2,3,3,2,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,3,3.1,2.3,2,4.01,3.13
4,1040,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,2,3,3,3,2,3,3,3,2,2,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,3.1,3.1,2.73,3.69,3.31
5,2000,5,5,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,3,4,4,3,3,4,3,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,4,5,4,4,4,5,5,4,4.9,4.2,3.36,4.13,4.12
6,2010,4,4,5,4,4,3,4,3,3,5,3,3,3,3,3,4,3,3,4,4,4,4,2,3,3,2,2,3,3,3,2,4,4,4,4,4,4,4,3,4,3,4,2,4,5,4,3,3.9,3.3,2.82,3.75,3.5
7,2040,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,4,4,4,5,4,5,4,4,4,4,4,4,4,3,3,3,4,5,5,5,5,5,5,4,3,5,4,5,4,5,5,5,5,4.1,3.82,4.63,4.41
8,2050,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,2,3,2,2,3,5,5,4,4,4,4,4,3,5,4,4,5,5,5,5,3,3,2.4,2.73,4.32,3.41
9,2060,4,4,4,4,4,4,4,4,4,5,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,5,4,5,4,4,5,5,3,4.1,3.7,3.82,4.13,3.97
10,2100,5,5,5,5,5,5,5,5,5,5,2,2,3,2,3,3,3,3,5,1,1,4,2,1,1,2,3,3,3,3,2,4,4,4,4,3,4,4,3,4,3,4,4,5,3,3,2,5,2.7,2.27,3.62,3.35
11,2120,5,5,5,5,2,2,2,3,3,5,3,3,5,5,5,3,3,3,4,4,4,4,3,3,3,2,3,3,3,3,3,4,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,3.7,3.8,3.09,4.25,3.87
12,3001,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3,3,4,2,4,2,3,3,3,2,1,2,1,2,2,4,4,4,4,4,5,3,5,3,4,5,4,4,2,5,5,5,4.1,3.4,2.27,4.13,3.64
13,3002,1,2,3,5,1,1,1,1,1,4,4,2,5,3,5,5,5,1,5,4,1,1,1,1,2,2,1,1,1,1,1,4,3,5,4,5,3,3,3,3,4,4,3,5,5,5,5,2,3.9,1.18,4.02,3.26
14,3003,3,3,4,3,3,3,3,3,3,3,3,3,2,3,4,3,4,2,5,5,3,4,3,3,3,3,3,4,3,3,3,4,4,4,5,3,3,4,2,3,4,4,4,4,4,3,3,3.1,3.4,3.18,3.63,3.43
15,3004,2,5,3,5,5,2,5,5,3,3,3,3,5,3,5,5,5,2,3,5,2,2,2,3,3,3,2,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.8,3.9,2.82,5,4.21
16,3005,5,5,5,4,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4.9,4.7,4.18,4.74,4.66
17,3006,2,5,2,3,3,4,4,2,5,4,4,3,2,3,4,5,5,2,4,5,3,2,2,1,2,1,2,4,3,3,3,5,5,4,5,5,5,4,4,5,5,5,5,2,5,5,5,3.4,3.7,2.36,4.62,3.86
18,3008,4,4,4,5,5,5,5,5,5,5,4,2,4,5,3,4,4,2,3,4,1,1,1,1,1,1,1,1,3,3,1,4,4,4,4,4,5,4,5,5,4,4,4,2,5,4,2,4.7,3.5,1.36,3.98,3.52
19,3009,4,4,5,4,5,4,3,5,3,5,4,4,4,3,4,4,4,3,4,3,3,3,2,2,2,2,1,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,3,2,5,4,5,4.2,3.7,2.55,3.99,3.71
20,3010,3,3,3,3,3,3,3,3,4,5,1,2,5,5,5,4,5,4,5,3,3,3,2,2,3,2,2,2,3,3,3,4,4,5,4,4,4,5,4,5,5,5,4,5,5,5,5,3.3,3.9,2.55,4.57,3.9
